Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2021-02-27,1.0014113175,1.0002290619,1.0020149008,0.9996268177
USDT,2021-02-28,1.0024229829,1.0020138082,1.0031493864,1.0002349139
USDT,2021-03-01,1.0007045634,1.0017596456,1.0037626369,1.0005421712
USDT,2021-03-02,1.0012749075,1.0005224522,1.0020905258,1.0000638953
USDT,2021-03-03,1.0006104192,1.0015889443,1.0017255895,1.0000846029
USDT,2021-03-04,1.0004542088,1.0013065154,1.0022067397,1.0001343487
USDT,2021-03-05,1.0004736959,1.0008731012,1.0022538542,0.9986868891
USDT,2021-03-06,0.9998262621,1.0008258512,1.0018228926,0.9990130249
USDT,2021-03-07,1.0004057436,1.0001934992,1.0006730075,0.9998276262
USDT,2021-03-08,1.0001407507,1.0000372605,1.0018630263,0.9996421488
USDT,2021-03-09,1.0009038558,0.9999334992,1.0011881012,0.9988341697
USDT,2021-03-10,1.0005745147,1.0008078126,1.0019158187,0.9995029723
USDT,2021-03-11,1.0006060493,1.0009227634,1.0011178069,0.9992587378
USDT,2021-03-12,1.0004327018,1.0005732249,1.0010299702,0.9997357515
USDT,2021-03-13,0.9965187474,1.000131345,1.0005490202,0.9958428154
USDT,2021-03-14,0.9995917195,0.9962505432,0.9997951659,0.9958116048
USDT,2021-03-15,1.001240824,0.9994526664,1.0016763898,0.9987432468
USDT,2021-03-16,1.0002325566,1.0011538935,1.0015335043,0.9990322318
USDT,2021-03-17,0.9995862047,1.000089384,1.0010211197,0.9982040848
USDT,2021-03-18,1.00043557,0.9993115285,1.0010229111,0.9990458319
USDT,2021-03-19,1.0003634548,1.0001063404,1.0013425155,0.9992413522
USDT,2021-03-20,1.0006281022,1.001487822,1.0022388296,1.0004710553
USDT,2021-03-21,1.0014958998,1.0005842581,1.0026557284,1.0003991661
USDT,2021-03-22,1.0008762048,1.0003673448,1.001696084,0.9995268985
USDT,2021-03-23,1.0003556206,1.0009758368,1.0013603864,0.9996458684
USDT,2021-03-24,1.0011130622,1.0005055884,1.0015729524,0.9996614891
USDT,2021-03-25,1.0004183133,1.000769615,1.0018179572,0.9518563201
USDT,2021-03-26,1.0004668901,1.0007132366,1.0015262834,0.9996770198
USDT,2021-03-27,1.0002444796,1.0005310196,1.0010270912,0.9998294607
USDT,2021-03-28,1.0000303742,1.0003683003,1.0010466605,0.9998781822
USDT,2021-03-29,0.9998566637,1.000042863,1.0009960605,0.9992662542
USDT,2021-03-30,1.0008844047,0.999779056,1.0018332163,0.9991439361
USDT,2021-03-31,0.9998711553,1.0015228629,1.0019533584,0.9998566305
USDT,2021-04-01,0.999876612,1.000194787,1.0004299418,0.9994224944
USDT,2021-04-02,1.0002579432,0.9999130883,1.0008512486,0.9987470096
USDT,2021-04-03,1.0010180098,0.9996929813,1.0018433504,0.9986791961
USDT,2021-04-04,1.0004885569,1.0011206657,1.0021278006,1.0003164628
USDT,2021-04-05,1.0001779134,1.0003976884,1.0016686774,0.9991736735
USDT,2021-04-06,1.0006376154,1.000185527,1.0008213833,0.9942549907
USDT,2021-04-07,1.0001961709,1.0005106466,1.0014071611,0.999507454
USDT,2021-04-08,1.000356514,1.0004634619,1.0011563075,0.9993685874
USDT,2021-04-09,1.0004757717,1.0002071318,1.0013854304,0.9996847134
USDT,2021-04-10,1.0000599775,1.0002050754,1.0006165955,0.9953093818
USDT,2021-04-11,0.9999219417,0.9997911187,1.0002734614,0.9966352147
USDT,2021-04-12,0.9993628721,1.0001636795,1.0005200968,0.9984323228
USDT,2021-04-13,0.9999422197,0.9995996513,1.0005872717,0.9981800669
USDT,2021-04-14,1.0002534823,0.9997107918,1.0013024623,0.9993315527
USDT,2021-04-15,1.0006318384,1.0000318802,1.0018029462,0.999544156
USDT,2021-04-16,1.0010171737,1.0007589966,1.0022774556,0.9992572465
USDT,2021-04-17,1.0022209202,1.0012612633,1.0028412247,1.0001774901
USDT,2021-04-18,1.0023032856,1.0022633637,1.0101788903,1.0015717774
USDT,2021-04-19,1.001556699,1.0022947841,1.0030782886,0.99968
USDT,2021-04-20,1.0013027726,1.0015253679,1.0032103706,1.0006793863
USDT,2021-04-21,1.0011463772,1.0011488469,1.0018152873,1.0003053084
USDT,2021-04-22,1.0002211044,1.0007258587,1.0021863657,0.9987957378
USDT,2021-04-23,1.002088378,1.000300131,1.0025237312,0.9984017053
USDT,2021-04-24,1.0024905322,1.0017346201,1.005618527,1.0015938066
USDT,2021-04-25,1.002049159,1.0027009489,1.0032835807,1.0017621695
USDT,2021-04-26,1.0010100985,1.001619872,1.0026187759,1.0003825321
USDT,2021-04-27,1.0016082064,1.000830988,1.0024274276,1.0006338312
USDT,2021-04-28,1.0013150046,1.0012611662,1.0027157154,1.0001375728
USDT,2021-04-29,1.0006792274,1.0010199254,1.0019346184,1.0000767879
USDT,2021-04-30,1.0006242683,1.0007999637,1.0028969786,1.0004598104
USDT,2021-05-01,1.0003756829,1.0004776935,1.0014289547,0.9989801711
USDT,2021-05-02,1.001308894,1.0002873408,1.0018943809,1.0001468841
USDT,2021-05-03,1.0006874302,1.0010250197,1.0017748764,0.9977856772
USDT,2021-05-04,1.0006893905,1.0008134157,1.0021870649,1.0000004075
USDT,2021-05-05,1.0000078239,1.0009736643,1.001800542,0.9997658
USDT,2021-05-06,1.0010816808,1.0003602588,1.0018913324,0.9995710196
USDT,2021-05-07,1.0019400126,1.0006595143,1.0023841557,0.9992457679
USDT,2021-05-08,1.0017427048,1.0018271794,1.002932203,1.0009939108
USDT,2021-05-09,1.0013821395,1.0017774821,1.0028316081,1.0000047074
USDT,2021-05-10,1.0018691827,1.0011154989,1.0043751698,1.0007218801
USDT,2021-05-11,1.0019676719,1.0013766296,1.0023203132,1.0005356806
USDT,2021-05-12,1.0011030765,1.0016025463,1.0047901091,1.0004049073
USDT,2021-05-13,1.0005357839,1.0009311959,1.0039297651,0.9996379667
USDT,2021-05-14,1.0014534251,1.0007906388,1.0030202377,1.0003105268
USDT,2021-05-15,1.0010841496,1.0016981094,1.0025555189,1.0004199064
USDT,2021-05-16,1.000415708,1.0009873987,1.0015836153,0.9985637055
USDT,2021-05-17,1.0007004585,1.0001516847,1.0018263433,0.9989113898
USDT,2021-05-18,1.0015339137,1.0004910748,1.0023572628,0.9998893489
USDT,2021-05-19,1.0029150994,1.0015885762,1.0085154091,0.995067391
USDT,2021-05-20,1.0036367399,1.0030798013,1.0039970581,1.0014433101
USDT,2021-05-21,1.002658069,1.0033232368,1.0049898002,1.0009280565
USDT,2021-05-22,1.0017701667,1.0022434101,1.0027478389,1.0013364828
USDT,2021-05-23,1.0019799133,1.0016109024,1.0030261624,1.0008549104
USDT,2021-05-24,1.00232188,1.0018562479,1.0029230062,1.0013360223
USDT,2021-05-25,1.0011999073,1.0020729487,1.0029729348,1.0009030558
USDT,2021-05-26,1.0015730998,1.00126042,1.0024041317,1.0007686351
