Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-02-27,46642.6060765784,46326.8240662604,48353.0009997272,46207.7057791701
BTC,2021-02-28,45092.806572600704,46204.05856443309,46675.1978497681,43119.157023757994
BTC,2021-03-01,49248.914013312,45234.3687569565,49520.7249935968,45044.383764480895
BTC,2021-03-02,47900.7768783279,49636.0214648134,50211.4371703528,47200.042169092005
BTC,2021-03-03,50811.855174443,48526.9903619638,52636.222987520996,48195.1231038261
BTC,2021-03-04,48259.4870766621,50433.43614725,51781.967830174006,47578.3072329746
BTC,2021-03-05,49149.7308288371,48404.2136268243,49462.133006264805,46393.39146354861
BTC,2021-03-06,48879.151904155704,48791.790508944105,49173.7618742134,47127.040971457805
BTC,2021-03-07,50594.6985745107,48887.566413132,51222.8723000143,48887.566413132
BTC,2021-03-08,51503.2581321815,50948.880707449294,51916.413945601795,49390.182715295196
BTC,2021-03-09,54458.0378114244,52360.7481633466,54804.0784533568,51865.5900329546
BTC,2021-03-10,56915.1739350527,54924.6865322271,57336.7454125548,53101.2363718899
BTC,2021-03-11,57636.757961966105,55898.8648164963,58034.703964172695,54323.6084986415
BTC,2021-03-12,57306.166262989005,57817.270210619296,58077.9516003434,55116.258354667
BTC,2021-03-13,60743.0418249111,57227.2334504064,61556.594492194505,56124.14999375361
BTC,2021-03-14,60197.9019918003,60972.491282227194,61453.0583419279,59275.7038320695
BTC,2021-03-15,56300.334108630304,58962.4884645416,60570.6936530492,54790.3293132007
BTC,2021-03-16,56639.7839496711,55668.6235320123,56821.882435267595,53350.36772618019
BTC,2021-03-17,58567.283781057806,56908.5650181465,58923.548931028396,54201.7016335385
BTC,2021-03-18,57983.094743574,58883.0183569279,60074.3698484262,57075.0685717417
BTC,2021-03-19,58451.7314659458,57661.415176007096,59461.775255881395,56327.7928291708
BTC,2021-03-20,58593.6024540601,58127.6880369045,59919.2117705724,57914.8945148009
BTC,2021-03-21,57796.4673712199,58139.300265596205,58649.1341945667,55645.0542716299
BTC,2021-03-22,54329.3586346314,57389.2116182088,58407.619205811905,53795.1540855809
BTC,2021-03-23,54794.2977137099,54143.106041118604,55858.3692503114,53031.3267854018
BTC,2021-03-24,52787.745525751605,54375.8076292116,57225.2988140147,51777.9710941205
BTC,2021-03-25,52173.867980245595,52335.565034055995,53209.4063842316,50458.09996544309
BTC,2021-03-26,54483.04573230001,51344.0489802149,54806.881513532404,51286.291177278894
BTC,2021-03-27,56234.3561050027,55067.8243992337,56520.3072872845,54022.0769411946
BTC,2021-03-28,55343.925815326904,55843.748915909804,56541.0065274396,54741.6263732317
BTC,2021-03-29,57627.679249103094,55786.5460749289,58353.5293934274,54929.680588102805
BTC,2021-03-30,58734.4754337222,57613.1612610215,59379.9921589643,57069.2292723107
BTC,2021-03-31,58724.6645166272,58810.1558902316,59835.392334136,56934.312115848494
BTC,2021-04-01,58984.6129299288,58764.4330922567,59458.9845627677,57973.352097854004
BTC,2021-04-02,58821.626994441394,58726.0845659329,60101.752325885194,58478.5983494219
BTC,2021-04-03,57517.798773141396,58958.428984754406,59713.210136027694,57185.768005977596
BTC,2021-04-04,58177.4027637323,57134.860051300995,58540.9847064005,56552.2222746656
BTC,2021-04-05,58843.5595402095,58230.6755383335,59243.0361752688,56846.96904722231
BTC,2021-04-06,58040.1876018833,59133.655740487695,59484.1994747287,57421.85308528
BTC,2021-04-07,56508.9428638801,58030.6218488382,58645.7729706819,55541.9061341434
BTC,2021-04-08,57880.905683859804,55996.080360144006,58179.6568636965,55758.491178193704
BTC,2021-04-09,58171.9090187021,58094.744128273094,58880.821607833896,57717.8597781978
BTC,2021-04-10,59295.950044014004,58149.6505908122,61065.2226248324,57924.0752636046
BTC,2021-04-11,59822.901677430404,59765.1038183476,60588.4719725509,59229.8601057682
BTC,2021-04-12,59853.1972422704,59998.1599130997,61219.7186131498,59428.2147494889
BTC,2021-04-13,63223.8843907858,59841.56137291389,63707.342359208,59799.4405780877
BTC,2021-04-14,62926.557175900896,63562.6735446382,64801.787869525,61400.2839683111
BTC,2021-04-15,63346.7890351052,62987.2701787333,63850.250734694804,62094.632914327194
BTC,2021-04-16,61965.782598095706,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-17,60574.4447282273,61444.232502980594,62534.0284980254,59802.8892670907
BTC,2021-04-18,56850.830165689295,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-19,56224.1015877117,56335.389141389904,57609.3681180061,54449.2453296336
BTC,2021-04-20,56608.7697483925,55723.227262800596,57121.9439016309,53442.8516601945
BTC,2021-04-21,54144.4274760563,56508.15124442481,56809.1463930716,53913.850515382
BTC,2021-04-22,51965.0595594061,53830.823864180704,55471.076371955,50500.7318617182
BTC,2021-04-23,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-24,50733.7695036374,51217.172329502595,51253.4429476246,48932.1588139391
BTC,2021-04-25,48542.9522029844,50177.2374032254,50668.659024936795,47105.5930680066
BTC,2021-04-26,53558.7078446195,49139.230954510196,54398.5927883666,48854.5813736666
BTC,2021-04-27,55123.8619814166,54059.474068504904,55398.0741517103,53351.1153983396
BTC,2021-04-28,54591.5153255436,55086.9387053242,56458.635811811604,53915.3548335028
BTC,2021-04-29,53260.2953411529,54893.871669080705,55224.907956195195,52403.7436077167
BTC,2021-04-30,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-01,57677.9752218988,57741.020910125706,58511.25604851139,57062.7000705128
BTC,2021-05-02,56427.043125015196,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-03,57255.306837555305,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-04,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
BTC,2021-05-05,57252.702184501104,53270.229118482595,57977.6134230368,52987.158659676505
BTC,2021-05-06,56583.849879166504,57459.0521750001,58368.6820919958,55330.7278628212
BTC,2021-05-07,57107.1206718864,56439.1333994272,58724.1107779691,55320.958117998605
BTC,2021-05-08,58788.209678927306,57419.1478883675,59575.463114579405,57028.4980485871
BTC,2021-05-09,58102.191426234196,58966.9150095429,59249.141676133,56494.9153343839
BTC,2021-05-10,55715.5466512869,58308.3180483295,59560.0254591057,53774.6282425192
BTC,2021-05-11,56573.5554719043,55899.7529711018,56956.075029342,54571.693209766105
BTC,2021-05-12,52147.821186982306,56767.7110629927,58036.5097771205,51625.5478489667
BTC,2021-05-13,49764.1320815975,49596.7788914698,51448.798576023204,46294.7201795113
BTC,2021-05-14,50032.69313676481,49717.3543531654,51578.3125446899,48944.346536021396
BTC,2021-05-15,47885.6252547166,49926.035067459,50690.802949535595,47005.1022924768
BTC,2021-05-16,45604.61575361309,46805.537851918496,49670.4141738148,43868.6389692715
BTC,2021-05-17,43144.471290860296,46439.3365698047,46622.853437484904,42102.346429618796
BTC,2021-05-18,43196.046480024,43559.5975614133,45850.2316654333,42469.9755696815
BTC,2021-05-19,39439.2376354523,42920.7488592961,43604.5695856053,30201.9573168187
BTC,2021-05-20,39756.089848537405,36795.4229843734,42589.863964678596,35670.9483794508
BTC,2021-05-21,36921.767807956,40685.32513842,42278.0051781578,33594.958899453704
BTC,2021-05-22,37490.9418875959,37359.7820135881,38889.859693570696,35304.227598414
BTC,2021-05-23,34259.548415869904,37521.8907695631,38267.2992786252,31179.6903617347
BTC,2021-05-24,38085.7893606212,34737.6280184542,39966.8764703305,34485.4310416469
BTC,2021-05-25,38290.4485281751,38888.3195311359,39855.1163404691,36498.6395293232
BTC,2021-05-26,38915.0048285955,38381.7360223173,40894.4367678487,37857.4997854786
ETH,2021-02-27,1495.812837494,1445.3511513751998,1527.5463555582999,1439.9360611903
ETH,2021-02-28,1412.7131887857001,1461.1072374866,1470.8625141182001,1303.3305059859
ETH,2021-03-01,1555.8447802535998,1421.7298613257,1565.3931721479998,1412.9352310188
ETH,2021-03-02,1483.9120430764,1571.0823653532998,1603.538082805,1458.2079512593
ETH,2021-03-03,1593.87899763,1489.5160971804999,1653.203487787,1478.7910368521
ETH,2021-03-04,1528.5683097828,1569.9435700835998,1624.9801986556,1508.2879121075
ETH,2021-03-05,1543.5683862909,1540.3625483969001,1549.1366228473,1444.9536646875
ETH,2021-03-06,1658.8123184002,1529.8408551208,1668.8612654724,1514.7848597657999
ETH,2021-03-07,1681.9917947622,1650.9386921003,1695.2060773322,1631.8423418294
ETH,2021-03-08,1782.4868586482999,1726.4259762108,1795.3772728454,1668.5448702225
ETH,2021-03-09,1834.6652773466,1833.0535704937,1857.9494561355,1802.1171972382
ETH,2021-03-10,1829.3913235136,1871.9681973295,1878.4979521679002,1764.2671363992001
ETH,2021-03-11,1822.2317968982002,1796.4673269041,1847.3304971958999,1726.6915316775
ETH,2021-03-12,1762.2335996561999,1827.1797830198002,1842.4749540088,1722.7581916294
ETH,2021-03-13,1905.9466708556,1766.6939512109,1936.3226212135,1729.1831534579999
ETH,2021-03-14,1880.7561142354,1914.8152993398,1924.5684851409,1835.9954149997
ETH,2021-03-15,1789.8440534585998,1847.4205702922,1889.7473530839002,1737.1588370573002
ETH,2021-03-16,1797.8202646051002,1795.3613351698002,1820.0390641219,1715.664835819
ETH,2021-03-17,1815.7424004952,1805.4800666668,1835.4145162334,1743.7056692341
ETH,2021-03-18,1790.5287290004,1822.4018270872,1849.8263246317001,1760.9381574754998
ETH,2021-03-19,1819.5551488499,1776.6476675714002,1841.0175597539,1735.7254247616
ETH,2021-03-20,1833.745116795,1811.9385661454,1870.0847110358,1803.8837767076002
ETH,2021-03-21,1798.8897051251001,1807.3548009625,1818.7724844345,1750.7809907775
ETH,2021-03-22,1684.4615704989,1784.119386526,1806.5598574913001,1658.9249628257
ETH,2021-03-23,1677.3997094293,1682.9827177716,1722.2969340566,1653.2294126507998
ETH,2021-03-24,1592.2323707381,1669.1645595169,1740.5798760257999,1548.0577709089002
ETH,2021-03-25,1598.2561459367998,1583.3947384826001,1621.5965348485001,1550.2956860288
ETH,2021-03-26,1681.9055387468,1587.2344153964002,1696.3262684098002,1587.1630837738
ETH,2021-03-27,1722.4718612491001,1700.0813899588,1732.3303222895001,1669.8251098334
ETH,2021-03-28,1676.3570868781,1713.3386238371,1725.7278299536,1662.9488340658
ETH,2021-03-29,1809.0688833594,1687.1789610226,1839.8005568881,1678.1089319958999
ETH,2021-03-30,1841.7557639612,1816.2410826747,1860.0217366209,1787.3647868596
ETH,2021-03-31,1913.851918614,1842.6999742920002,1947.3556376949,1773.1823380941
ETH,2021-04-01,1968.1667128324,1919.1623035076998,1983.4506630735,1888.6410474088
ETH,2021-04-02,2096.5905056962,1968.074621212,2102.1718121175,1950.0066632197
ETH,2021-04-03,2036.7518967657998,2133.6128896764003,2137.402747669,2004.6928828906
ETH,2021-04-04,2067.5147852089003,2011.488248889,2093.7689477643,1983.9925356363
ETH,2021-04-05,2114.1439392315,2076.9769703868,2129.8714520031,2005.4618616129
ETH,2021-04-06,2117.5958108286,2107.4649993634,2151.2542487619,2045.3981058766
ETH,2021-04-07,2011.5504260806,2113.3742316348003,2129.3914584458,1933.9071226332999
ETH,2021-04-08,2069.660876338,1964.6033762581,2076.8113842204,1950.8914647371
ETH,2021-04-09,2070.601411041,2081.3857854027,2100.2333978020997,2050.166955436
ETH,2021-04-10,2118.7059924048003,2067.6584243107,2190.7092711710998,2059.1617438466
ETH,2021-04-11,2137.0958672385,2133.3263675309,2164.1317975,2111.8299026016
ETH,2021-04-12,2144.4204637437,2151.4067715514,2199.8678801696,2103.671604266
